month,DomesticStocks,USstocks,Investment,Cash,Valuation,BitCoin,総額,Credit guarantee deposit
2025/04/01,"593,020","2,608,640","2,284,987","672,638","386,331","100,000",,
2025/05/01,"595,442","3,342,219","2,455,029","189,989","1,016,042","100,000",,
2025/06/01,"599,761","3,709,955","2,573,485","14,673","1,414,647","96,060",,
2025/06/22,"599,249","3,753,901","2,571,606","26,548","1,429,134","96,060","7,047,364",
2025/06/25,"589,372","3,904,547","2,596,054",218754,"1,615,923","96,060","7,404,787",
2025/06/28,"597,604","3,867,213","2,686,586",124954,"1,605,554","96,060","7,372,417",
2025/06/29,"600,961","3,872,074","2,745,921",258512,"1,605,554","86,086",,
2025/07/12,"602,937","3,877,194","2,784,858","365,796","1,709,644","101,535","7,732,320",
2025/07/19,"652,643","4,112,281","2,829,703",227821,"1,901,322","124,646","7,947,094",
2025/07/26,"731,838","3,819,274","2,838,259","544,575","1,807,041","129,779","8,063,725",
2025/08/02,"732,563","3,697,078","2,884,798","400,556","1,640,907","120,345","7,835,340",
2025/08/09,"759,075","4,030,723","2,846,086","400,587","1,991,229","140,242","8,176,713",
2025/08/16,"896,695","3,877,190","2,908,591","521,800","2,119,046","154,420","8,358,696",
2025/08/23,"850,239","3,761,287","2,886,746","723,300","2,084,690","166,776","8,388,348",
2025/09/06,"855,622","3,760,510","2,989,739","641,193","2,042,902","151,123","8,398,187",
2025/09/13,"869,729","4,031,306","3,015,672",671545,"2,376,810","164,962","8,753,214",
2025/09/20,"871,247","4,281,841","3,054,281","702,116","2,706,586","157,390","9,066,875",
2025/09/21,"877,539","4,357,421","3,073,283","867,508","2,749,011","142,101","9,317,852",
2025/10/04,"839,312","4,350,199","3,128,205","655,714","2,724,610","158,309","9,131,739",
2025/10/19,"872,876","4,312,846","3,152,845","774,210","2,938,711","139,543","9,252,320",
2025/10/25,"888,861","4,312,280","3,253,470","1,450,875","3,130,510","143,048","10,048,534",
2025/11/01,"944,167","4,509,718","3,322,196","1,406,773","3,460,401","141,125","10,323,979",
2025/11/08,"931,986","3,745,170","3,255,106","1,620,519","2,733,528","125,437","9,678,218",
2025/11/15,"1,133,014","3,611,681","3,348,077","1,282,809","2,606,986","165,483","9,541,064",
2025/11/24,"1,127,920","3,462,231","3,305,255","1,433,337","2,246,154","153,957","9,482,700",
2025/12/07,"1,126,501","3,870,782","3,462,096","1,428,566","2,915,355","161,756","10,049,701",
2025/12/14,"1,135,957","3,827,377","3,498,504","1,428,145","2,943,440","165,652","10,055,635",
2025/12/20,"1,125,902","3,979,904","3,434,003","1,432,152","2,966,466","160,945","10,132,906",
2025/12/27,"1,410,866","3,984,122","3,576,229","1,311,605","3,108,096","157,581","10,440,403",
2026/01/10,"1,481,196","3,877,124","3,648,614","1,419,996","3,117,746","166,809","10,593,739",
2026/01/17,"1,621,369","3,831,644","3,644,418","1,331,776","3,223,236","177,557","10,606,764",
2026/01/24,"1,800,702","3,829,347","3,624,655","1,372,998","3,283,084","158,914","10,786,616",
2026/01/31,"1,999,952","3,658,906","3,568,896","1,110,515","2,879,128","158,914","10,497,183",
2026/02/07,"1,878,244","3,612,052","3,612,052","925,786","2,483,760","158,914","10,187,048",
2026/02/14,"1,948,268","3,536,578","3,483,157","660,131","2,256,124","158,914","9,787,048",
2026/02/21,"2,080,385","3,591,365","3,550,295","842,880","2,373,822","158,914","10,223,839",
2026/02/28,"2,289,648","3,575,139","3,645,811","856,262","2,596,115","158,914","10,525,774",
2026/03/07,"2,360,040","3,544,960","3,325,905","1,000,726","2,082,225","80,000","10,311,631",
2026/03/20,"2,305,295","3,430,024","3,283,576","806,848","1,770,824","80,000","9,905,743",
2026/03/28,"2,407,634","3,284,672","3,150,605","512,542","1,559,320","80,000","9,435,453",
2026/04/04,"2,497,248","3,421,235","3,206,999","419,831","1,735,961","80,000","9,625,313",
,,,,,,,,
,,,,,,,,
,,,,,,,,
差分,"-12,181","-764,548","-67,090","213,746","-726,873","-15,688","-645,761",
年率,,,,,,,,
2027年1月_目標資産分布,500万円,600万円,600万円,300万,,20万,2000万円,
,"金:200万円
銀:100万円
株:200万円",120万,"全世界：200
SP500：200
FANG+：100
NASDAQ：100","信用取引：
年間利益200万目標
2025年：80万利益
2026年：100→400
2027年：200→800
2028年：400→1200",,,,
積立額(400万円くらい？),200万円,"SoFI：20万円積立
パランティア：20万円積立
AST：30万円積立
CDE：30万円積立
Google：20万円積立","全世界：0
SP500：0
FANG+：100
NASDAQ：100",,,,,