month,amount,diff,,
2021/09/01,"49,501",,,
2021/10/01,"53,426","3,925",,
2021/11/01,"183,333","129,907",,
2021/12/01,"340,566","157,233",,
2022/01/01,"545,683","205,117",,
2022/02/01,"732,105","186,422",,
2022/03/01,"960,714","228,609",,
2022/04/01,"1,022,502","61,788",,
2022/05/01,"1,154,610","132,108",,
2022/06/01,"1,270,012","115,402",,
2022/07/01,"1,363,996","93,984",,
2022/08/01,"1,365,855","1,859",,
2022/09/01,"1,653,917","288,062",,
2022/10/01,"1,508,459","-145,458",,
2022/11/01,"1,597,123","88,664",,
2022/12/01,"1,562,743","-34,380",,
2023/01/01,"1,325,330","-237,413",,
2023/02/01,"2,204,192","878,862",,
2023/03/01,"1,972,551","-231,641",,
2023/04/01,"2,109,896","137,345",,
2023/05/01,"2,041,059","-68,837",,
2023/06/01,"1,856,729","-184,330",,
2023/07/01,"2,785,034","928,305",,
2023/08/01,"2,700,862","-84,172",,
2023/09/01,"2,762,520","61,658",,
2023/10/01,"2,815,172","52,652",,
2023/11/01,"2,525,715","-289,457",,
2023/12/01,"3,407,297","881,582",,
2024/01/01,"3,248,970","-158,327",,
2024/02/01,"3,133,898","-115,072",,
2024/03/01,"2,863,523","-270,375",,
2024/04/01,"4,040,443","1,176,920",,
2024/05/01,"4,261,974","221,531",,
2024/06/01,"4,432,556","170,582",,
2024/07/01,"4,625,815","193,259",,
2024/08/01,"4,586,814","-39,001",,
2024/09/01,"4,845,248","258,434",,
2024/10/01,"5,206,320","361,072",,
2024/11/01,"6,257,849","1,051,529",,
2024/12/01,"6,756,425","498,576",,
2025/01/01,"6,028,785","-727,640",,
2025/02/01,"5,432,321","-596,464",,
2025/03/01,"5,279,031","-153,290",,
2025/04/01,"6,134,040","855,009",,
2025/05/01,"6,697,332","563,292",,
2025/06/01,7203541,"506,209",,
2025/06/22,"7,047,364.00","-156,177.00",,
2025/06/25,"7,404,364.00","357,000.00",,
2025/07/01,"7,372,417","-31,947","168,876",
2025/07/06,"7,451,993","79,576","404,629",
2025/07/12,"7,732,320","280,327","327,956",
2025/07/19,"7,947,094","214,774","574,677",
2025/07/26,"8,063,725","116,631","611,732",
2025/08/01,"7,835,340","-228,385","103,020",
2025/08/09,"8,176,713","341,373","229,619",
2025/08/16,"8,358,696","181,983","294,971",
2025/08/23,"8,388,348","29,652","553,008",
2025/09/01,"8,398,187","9,839","221,474",
2025/09/13,"8,753,214","355,027","394,518",
2025/09/20,"9,066,875","313,661","678,527",
2025/10/01,"9,317,852","250,977","919,665",
2025/10/04,"9,131,739","-186,113","378,525",
2025/10/19,"9,252,320","120,581","185,445",
2025/10/25,"10,048,534","796,214","730,682",
2025/11/01,"10,323,979","275,445","1,192,240",
2025/11/08,"9,678,218","-645,761","425,898",
2025/11/24,"9,482,700","-195,518","-565,834",
2025/12/07,"10,049,701","567,001","-274,278",
2025/12/14,"10,055,635","5,934","377,417",
2025/12/20,"10,132,906","77,271","650,206",
2025/12/27,"10,440,403","307,497","390,702",
2026/01/17,"10,606,764","166,361","551,129",
2026/01/24,"10,786,616","179,852","653,710",2000万円達成には、850000が目標
2026/01/31,"10,497,183","-289,433","56,780",
2026/02/07,"10,187,048","-310,135","-419,716",
2026/02/14,"9,787,048","-400,000","-999,568",
2026/02/21,"10,223,839","436,791","-273,344",
2026/02/28,"10,525,774","301,935","338,726",
2026/03/07,"10,311,631","-214,143","524,583",
2026/03/20,"9,905,743","-405,888","-318,096",
2026/03/28,"9,435,453","-470,290","-1,090,321",
2026/04/04,"9,625,313","189,860","-686,318",